year,fhb_avg_age_years,fhb_median_price_nzd,kiwisaver_fhb_withdrawals_count,kiwisaver_fhb_withdrawals_amount_bn_nzd,source
2019,34.0,,,"Cotality-Westpac FHB Report; Westpac lending records for age"
2020,34.4,,,"Cotality-Westpac FHB Report; Westpac lending records"
2021,34.6,740000,48475,1.5,"Cotality-Westpac FHB Report; CoreLogic median FHB price; FMA KiwiSaver Annual Report"
2022,35.0,719000,44000,1.48,"Cotality-Westpac FHB Report; CoreLogic; FMA estimated"
2023,35.4,700000,,"Cotality-Westpac FHB Report; CoreLogic"
2024,35.6,698000,,"Cotality-Westpac FHB Report; CoreLogic"
2025,35.6,700000,42811,1.8,"Cotality-Westpac FHB Report Nov 2025; FMA KiwiSaver Annual Report 2025"
2026,35.0,720000,,"Cotality-Westpac FHB Report Q1 2026; avg age decreased from 36 to 35"
