year,auckland_median_nzd,wellington_median_nzd,christchurch_median_nzd,national_median_nzd,source
2017,850000,550000,450000,551750,"REINZ monthly data via interest.co.nz; approximate annual medians"
2018,860000,575000,455000,560000,"REINZ monthly data; approximate annual medians"
2019,910000,640000,470000,628000,"REINZ monthly data; approximate annual medians"
2020,1040000,755000,530000,745000,"REINZ monthly data; approximate annual medians"
2021,1250000,945000,660000,900000,"REINZ monthly data; approximate annual medians"
2022,1130000,820000,685000,785300,"REINZ monthly data; approximate annual medians"
2023,1050000,795000,690000,779830,"REINZ monthly data; approximate annual medians"
2024,1010000,770000,700000,776000,"REINZ monthly data; approximate annual medians"
2025,1015000,770000,725000,786977,"REINZ December 2025 data; Christchurch record"
