year,national_median_days_to_sell,source
2018,38,"REINZ monthly data via interest.co.nz; annual median"
2019,39,"REINZ monthly data via interest.co.nz; annual median"
2020,35,"REINZ monthly data via interest.co.nz; COVID volatility in April (58 days)"
2021,31,"REINZ monthly data via interest.co.nz; record lows"
2022,43,"REINZ monthly data via interest.co.nz; rising through the year"
2023,45,"REINZ monthly data via interest.co.nz; peaked at 60 in Feb 2023"
2024,44,"REINZ monthly data via interest.co.nz; stable at elevated levels"
2025,44,"REINZ 2025 Year in Review; annual median unchanged from 2024"
