year,annual_sales_count,source
2018,77848,"REINZ monthly data via interest.co.nz; sum of monthly unconditional sales"
2019,77111,"REINZ monthly data via interest.co.nz; sum of monthly unconditional sales"
2020,82165,"REINZ monthly data via interest.co.nz; COVID impact in April (1,389) then rebound"
2021,88588,"REINZ monthly data via interest.co.nz; record March of 10,151 sales"
2022,62383,"REINZ monthly data via interest.co.nz; collapsed as rates rose"
2023,63414,"REINZ monthly data via interest.co.nz; trough Jan (2,855) then modest recovery"
2024,72617,"REINZ monthly data via interest.co.nz; recovery continued"
2025,80655,"REINZ 2025 Year in Review; up 10.3% from 2024"
