year,fhb_share_pct,fhb_property_count,source
2016,21.0,,"CoreLogic/Cotality NZ Buyer Classification (annual average)"
2017,21.0,,"CoreLogic/Cotality NZ Buyer Classification (annual average)"
2018,21.5,,"CoreLogic/Cotality NZ Buyer Classification (annual average)"
2019,22.0,,"CoreLogic/Cotality NZ Buyer Classification (annual average)"
2020,24.0,,"CoreLogic/Cotality NZ Buyer Classification; Q3 2020 hit record 25% at the time"
2021,23.1,,"CoreLogic/Cotality NZ Buyer Classification; annual record at the time"
2022,21.0,,"CoreLogic/Cotality NZ Buyer Classification; market peak, FHBs squeezed"
2023,25.8,17000,"CoreLogic/Cotality NZ Buyer Classification; new annual record"
2024,26.1,,"CoreLogic/Cotality NZ Buyer Classification; full-year record"
2025,27.5,24800,"CoreLogic/Cotality NZ Buyer Classification; Q4 hit quarterly record 28.2%"
