# US job postings mentioning AI-related skills, 2023 and 2024.
# Variables: skill, year, postings (count of postings mentioning the skill),
#   note, source.
# Provider: Lightcast (Burning Glass) job postings analysed for the Stanford
# AI Index 2025. The counts are postings that mention the skill, not
# de-duplicated to unique job titles; the Stanford AI Index reports them as
# "postings". Compiled from the Lightcast report; no stable CSV endpoint.
skill,year,postings,note,source
prompt engineering,2023,1400,Job postings mentioning prompt engineering,Lightcast for Stanford AI Index 2025
prompt engineering,2024,6300,Job postings mentioning prompt engineering (reported as nearly 6300),Lightcast for Stanford AI Index 2025
generative AI,2023,16000,Job postings mentioning generative AI as a skill,Lightcast for Stanford AI Index 2025
generative AI,2024,66000,Job postings mentioning generative AI as a skill (reported as more than 66000),Lightcast for Stanford AI Index 2025
large language models,2023,5000,Job postings mentioning large language modeling,Lightcast for Stanford AI Index 2025
large language models,2024,20000,Job postings mentioning large language modeling,Lightcast for Stanford AI Index 2025
