# Occupation-level AI task coverage and augmentation versus automation
# shares, Anthropic Economic Index first report (February 2025, January 2025
# sample) and fourth report (January 2026, November 2025 sample).
# Variables: report, sample_period, indicator, share_pct, source.
# The 57/43 and 52/45 splits are the published classifications in the
# Anthropic reports, computed on Claude.ai conversations; they are not
# directly reproducible from the open interaction-type CSV alone.
report,sample_period,indicator,share_pct,source
First Anthropic Economic Index,January 2025,occupations_with_ai_in_at_least_25pct_of_tasks,36,Anthropic Economic Index first report (10 February 2025)
First Anthropic Economic Index,January 2025,occupations_with_ai_in_at_least_75pct_of_tasks,4,Anthropic Economic Index first report (10 February 2025)
First Anthropic Economic Index,January 2025,tasks_augmented_pct,57,Anthropic Economic Index first report (10 February 2025)
First Anthropic Economic Index,January 2025,tasks_automated_pct,43,Anthropic Economic Index first report (10 February 2025)
Fourth Anthropic Economic Index,November 2025,occupations_with_ai_in_at_least_25pct_of_tasks,49,Anthropic Economic Index fourth report (15 January 2026)
Fourth Anthropic Economic Index,November 2025,tasks_augmented_pct,52,Anthropic Economic Index fourth report (15 January 2026)
Fourth Anthropic Economic Index,November 2025,tasks_automated_pct,45,Anthropic Economic Index fourth report (15 January 2026)
