# AI use at work among workers and knowledge workers, Pew Research Center
# (October 2024 and September 2025 waves) and Microsoft and LinkedIn Work
# Trend Index 2024.
# Variables: survey, wave, indicator, share_pct, note, source.
# The Microsoft and LinkedIn survey covered 31000 people in 31 countries.
# Compiled from the cited publications; no stable machine-readable endpoints.
survey,wave,indicator,share_pct,note,source
Pew Research Center,October 2024,workers_saying_ai_does_at_least_some_work_pct,16,Share of US workers saying at least some of their work is done with AI,Pew Research Center (October 2024)
Pew Research Center,September 2025,workers_saying_ai_does_at_least_some_work_pct,21,Share of US workers saying at least some of their work is done with AI; survey of 8750 US adults fielded 2-8 September 2025,Pew Research Center short read (6 October 2025)
Microsoft and LinkedIn Work Trend Index 2024,2024,knowledge_workers_using_gen_ai_pct,75,Share of knowledge workers who use generative AI at work; survey of 31000 people in 31 countries,Microsoft and LinkedIn Work Trend Index 2024
Microsoft and LinkedIn Work Trend Index 2024,2024,leaders_not_hiring_without_ai_skills_pct,66,Share of leaders who would not hire someone without AI skills,Microsoft and LinkedIn Work Trend Index 2024
Microsoft and LinkedIn Work Trend Index 2024,2024,leaders_preferring_less_experienced_with_ai_skills_pct,71,Share of leaders who would rather hire a less experienced candidate with AI skills than a more experienced candidate without them,Microsoft and LinkedIn Work Trend Index 2024
