# Organisational adoption of AI, 2023-2025.
# Variables: year, ai_use_pct (share of organisations using AI in at least one
# business function), genai_use_pct (share regularly using generative AI),
# note. Source: McKinsey State of AI surveys (2023; early 2024; 2025).
# The Stanford AI Index Report (2025) re-states a later 2024 reading of
# 78 percent for ai_use_pct; the primary early-2024 survey figure is 72.
year,ai_use_pct,genai_use_pct,note
2023,55,33,McKinsey State of AI 2023
2024,72,65,McKinsey State of AI early 2024
2025,88,79,McKinsey State of AI 2025
