# Self-reported daily stress, worldwide.
# population_stress_pct: share of all adults who experienced stress during a
# lot of the previous day (Gallup Global Emotions / State of the World's
# Emotional Health reports).
# workplace_stress_pct: share of employees who experienced a lot of daily
# work-related stress (Gallup State of the Global Workplace reports).
year,population_stress_pct,workplace_stress_pct
2017,37,NA
2018,35,NA
2019,35,38
2020,40,43
2021,41,44
2022,40,44
2023,37,41
2024,37,41
